City,Country,Latitude,Longitude,Max Temp F,Current Temp F,Humitidy %,Cloudiness %,Wind Speed
Abancay,PE,-13.64,-72.88,41.37,41.37,100,64,1.57
Abbeville,FR,50.11,1.83,44.6,43.09,75,0,17.22
Aberdeen,US,45.47,-98.49,27,24.96,79,90,11.41
Abha,SA,18.22,42.5,69.8,69.8,37,0,20.8
Abong Mbang,CM,3.98,13.18,67.83,67.83,95,92,2.57
Aborlan,PH,9.44,118.55,82.41,82.41,94,0,17.78
Aboso,GH,5.36,-1.95,75.39,75.39,92,48,4.47
Abu Dhabi,AE,24.47,54.37,80.6,80.6,57,92,18.34
Abu Kamal,SY,34.45,40.92,49.83,49.83,99,0,15.99
Abu Samrah,SY,35.3,37.18,47.76,47.76,85,68,7.16
Abu Zabad,SD,12.35,29.25,77.01,77.01,19,0,9.4
Acajutla,SV,13.59,-89.83,66.99,66.99,67,0,4.03
Acapulco,MX,16.86,-99.88,75.2,75.2,83,5,4.59
Acari,BR,-6.44,-36.64,67.29,67.29,96,48,2.57
Acurenam,GA,1.03,10.67,71.16,71.16,95,92,2.46
Adrar,DZ,27.87,-0.29,60.8,60.8,31,40,16.11
Agadez,NE,16.97,7.99,74.76,74.76,15,68,15.1
Ahipara,NZ,-35.17,173.16,67.56,67.56,91,64,11.63
Ahuimanu,US,21.44,-157.84,77,74.79,75,20,14.99
Airai,TL,-8.93,125.41,78.18,78.18,79,44,1.9
Ajdabiya,LY,30.75,20.22,51.09,51.09,83,0,3.58
Aketi,CD,2.74,23.78,76.56,76.56,92,88,1.68
Aklavik,CA,68.22,-135.01,24.8,24.8,62,75,5.82
Aksarka,RU,66.56,67.8,27.15,27.15,90,24,15.1
Aksha,RU,50.28,113.29,29.13,29.13,24,12,7.38
Aksu,KZ,52.04,76.93,37.4,37.4,93,75,2.24
Alakurtti,RU,66.96,30.34,28,28,85,88,8.99
Alamogordo,US,32.9,-105.96,53.6,42.82,23,1,3.36
Alamor,EC,-4.02,-80.02,65.85,65.85,99,100,1.68
Albany,US,42.65,-73.75,41,34.18,59,20,6.15
Alegrete,BR,-29.79,-55.79,56.31,56.31,68,0,9.17
Alekseyevka,RU,53.25,50.49,32,32,97,90,22.37
Alexandria,US,31.31,-92.44,66.2,65.21,93,90,6.93
Aliaga,PH,15.5,120.85,91.32,91.32,52,0,7.05
Alice Springs,AU,-23.7,133.88,77,77,69,100,19.46
Almansa,ES,38.87,-1.1,48.99,40.08,92,0,2.35
Almeirim,PT,39.21,-8.63,57.99,51.06,87,0,5.82
Alofi,NU,-19.06,-169.92,77,77,73,24,6.93
Along,IN,28.17,94.8,72.33,72.33,53,8,1.9
Alta Floresta,BR,-9.87,-56.08,74.13,74.13,97,20,2.01
Altagracia De Orituco,VE,9.86,-66.38,69.63,69.63,82,8,11.07
Altamont,CA,49.4,-98.5,21.2,19.65,67,1,6.93
Altay,CN,47.83,88.13,35.16,35.16,73,8,2.68
Alto Araguaia,BR,-17.32,-53.22,73.86,73.86,79,8,8.39
Alyangula,AU,-13.85,136.42,89.6,89.6,62,36,3.36
Alzamay,RU,55.55,98.67,30.03,30.03,64,80,6.15
Amahai,ID,-3.31,129,85.29,85.29,100,20,4.7
Amapa,HN,15.09,-87.97,71.6,71.6,73,20,5.82
Amazar,RU,53.86,120.88,17.61,17.61,40,68,7.49
Ambato,EC,-1.24,-78.63,46,46,98,76,2.13
Ambilobe,MG,-13.19,49.05,79.71,79.71,99,24,3.36
Ambon,FR,47.55,-2.56,43,39.34,93,0,12.75
Amga,RU,60.89,131.98,17.16,17.16,57,64,7.16
Anadyr,RU,64.73,177.51,17.6,17.28,92,75,2.24
Anchorage,US,61.22,-149.89,44.6,40.55,81,1,4.7
Ancud,CL,-41.87,-73.83,48.2,48.2,87,0,11.41
Andalan,PH,5.96,121.39,80.43,80.43,100,76,2.35
Anloga,GH,5.79,0.9,82.4,82.4,83,20,12.75
Annau,TM,37.89,58.52,64.4,64.4,72,90,6.93
Anrochte,DE,51.57,8.33,41,39.11,93,40,8.05
Antalaha,MG,-14.9,50.28,84.21,84.21,85,12,7.49
Antalya,TR,36.9,30.69,55.4,55.15,24,0,17.22
Antsohihy,MG,-14.88,47.99,81.78,81.78,93,8,3.02
Anzio,IT,41.45,12.63,57.99,49.17,86,20,6.38
Araceli,PH,10.55,119.99,81.51,81.51,97,0,16.11
Araouane,ML,18.9,-3.53,83.31,83.31,30,100,5.48
Arcata,US,40.87,-124.08,55.4,52.14,87,90,6.93
Aripuana,BR,-9.17,-60.63,75.48,75.48,95,12,1.57
Arraial Do Cabo,BR,-22.97,-42.02,76.29,76.29,98,8,6.71
